"TIME","GEO","INFOTYPE","COICOP","Value","Flag and Footnotes"
"2001","Bulgaria","Annual average index","All-items HICP","82,04",""
"2002","Bulgaria","Annual average index","All-items HICP","86,80",""
"2003","Bulgaria","Annual average index","All-items HICP","88,84",""
"2004","Bulgaria","Annual average index","All-items HICP","94,30",""
"2005","Bulgaria","Annual average index","All-items HICP","100,00",""
"2006","Bulgaria","Annual average index","All-items HICP","107,42",""
"2007","Bulgaria","Annual average index","All-items HICP","115,55",""
"2008","Bulgaria","Annual average index","All-items HICP","129,36",""
"2009","Bulgaria","Annual average index","All-items HICP","132,56",""
"2010","Bulgaria","Annual average index","All-items HICP","136,58",""
"2001","Czech Republic","Annual average index","All-items HICP","94,7",""
"2002","Czech Republic","Annual average index","All-items HICP","96,1",""
"2003","Czech Republic","Annual average index","All-items HICP","96,0",""
"2004","Czech Republic","Annual average index","All-items HICP","98,4",""
"2005","Czech Republic","Annual average index","All-items HICP","100,0",""
"2006","Czech Republic","Annual average index","All-items HICP","102,1",""
"2007","Czech Republic","Annual average index","All-items HICP","105,1",""
"2008","Czech Republic","Annual average index","All-items HICP","111,7",""
"2009","Czech Republic","Annual average index","All-items HICP","112,4",""
"2010","Czech Republic","Annual average index","All-items HICP","113,7",""
"2001","Denmark","Annual average index","All-items HICP","93,3",""
"2002","Denmark","Annual average index","All-items HICP","95,6",""
"2003","Denmark","Annual average index","All-items HICP","97,5",""
"2004","Denmark","Annual average index","All-items HICP","98,3",""
"2005","Denmark","Annual average index","All-items HICP","100,0",""
"2006","Denmark","Annual average index","All-items HICP","101,8",""
"2007","Denmark","Annual average index","All-items HICP","103,5",""
"2008","Denmark","Annual average index","All-items HICP","107,3",""
"2009","Denmark","Annual average index","All-items HICP","108,4",""
"2010","Denmark","Annual average index","All-items HICP","110,8",""
"2001","Germany (including  former GDR from 1991)","Annual average index","All-items HICP","94,1",""
"2002","Germany (including  former GDR from 1991)","Annual average index","All-items HICP","95,4",""
"2003","Germany (including  former GDR from 1991)","Annual average index","All-items HICP","96,4",""
"2004","Germany (including  former GDR from 1991)","Annual average index","All-items HICP","98,1",""
"2005","Germany (including  former GDR from 1991)","Annual average index","All-items HICP","100,0",""
"2006","Germany (including  former GDR from 1991)","Annual average index","All-items HICP","101,8",""
"2007","Germany (including  former GDR from 1991)","Annual average index","All-items HICP","104,1",""
"2008","Germany (including  former GDR from 1991)","Annual average index","All-items HICP","107,0",""
"2009","Germany (including  former GDR from 1991)","Annual average index","All-items HICP","107,2",""
"2010","Germany (including  former GDR from 1991)","Annual average index","All-items HICP","108,4",""
"2001","Estonia","Annual average index","All-items HICP","88,76",""
"2002","Estonia","Annual average index","All-items HICP","91,95",""
"2003","Estonia","Annual average index","All-items HICP","93,22",""
"2004","Estonia","Annual average index","All-items HICP","96,05",""
"2005","Estonia","Annual average index","All-items HICP","100,00",""
"2006","Estonia","Annual average index","All-items HICP","104,45",""
"2007","Estonia","Annual average index","All-items HICP","111,49",""
"2008","Estonia","Annual average index","All-items HICP","123,31",""
"2009","Estonia","Annual average index","All-items HICP","123,56",""
"2010","Estonia","Annual average index","All-items HICP","126,95",""
"2001","Ireland","Annual average index","All-items HICP","87,8",""
"2002","Ireland","Annual average index","All-items HICP","92,0",""
"2003","Ireland","Annual average index","All-items HICP","95,7",""
"2004","Ireland","Annual average index","All-items HICP","97,9",""
"2005","Ireland","Annual average index","All-items HICP","100,0",""
"2006","Ireland","Annual average index","All-items HICP","102,7",""
"2007","Ireland","Annual average index","All-items HICP","105,6",""
"2008","Ireland","Annual average index","All-items HICP","108,9",""
"2009","Ireland","Annual average index","All-items HICP","107,1",""
"2010","Ireland","Annual average index","All-items HICP","105,4",""
"2001","Greece","Annual average index","All-items HICP","87,26",""
"2002","Greece","Annual average index","All-items HICP","90,67",""
"2003","Greece","Annual average index","All-items HICP","93,79",""
"2004","Greece","Annual average index","All-items HICP","96,63",""
"2005","Greece","Annual average index","All-items HICP","100,00",""
"2006","Greece","Annual average index","All-items HICP","103,31",""
"2007","Greece","Annual average index","All-items HICP","106,40",""
"2008","Greece","Annual average index","All-items HICP","110,90",""
"2009","Greece","Annual average index","All-items HICP","112,40",""
"2010","Greece","Annual average index","All-items HICP","117,68",""
"2001","Spain","Annual average index","All-items HICP","87,88",""
"2002","Spain","Annual average index","All-items HICP","91,04",""
"2003","Spain","Annual average index","All-items HICP","93,86",""
"2004","Spain","Annual average index","All-items HICP","96,73",""
"2005","Spain","Annual average index","All-items HICP","100,00",""
"2006","Spain","Annual average index","All-items HICP","103,56",""
"2007","Spain","Annual average index","All-items HICP","106,51",""
"2008","Spain","Annual average index","All-items HICP","110,91",""
"2009","Spain","Annual average index","All-items HICP","110,64",""
"2010","Spain","Annual average index","All-items HICP","112,90",""
"2001","France","Annual average index","All-items HICP","92,07",""
"2002","France","Annual average index","All-items HICP","93,86",""
"2003","France","Annual average index","All-items HICP","95,89",""
"2004","France","Annual average index","All-items HICP","98,14",""
"2005","France","Annual average index","All-items HICP","100,00",""
"2006","France","Annual average index","All-items HICP","101,91",""
"2007","France","Annual average index","All-items HICP","103,55",""
"2008","France","Annual average index","All-items HICP","106,82",""
"2009","France","Annual average index","All-items HICP","106,93",""
"2010","France","Annual average index","All-items HICP","108,79",""
"2001","Italy","Annual average index","All-items HICP","90,7",""
"2002","Italy","Annual average index","All-items HICP","93,1",""
"2003","Italy","Annual average index","All-items HICP","95,7",""
"2004","Italy","Annual average index","All-items HICP","97,8",""
"2005","Italy","Annual average index","All-items HICP","100,0",""
"2006","Italy","Annual average index","All-items HICP","102,2",""
"2007","Italy","Annual average index","All-items HICP","104,3",""
"2008","Italy","Annual average index","All-items HICP","108,0",""
"2009","Italy","Annual average index","All-items HICP","108,8",""
"2010","Italy","Annual average index","All-items HICP","110,6",""
"2001","Cyprus","Annual average index","All-items HICP","90,00",""
"2002","Cyprus","Annual average index","All-items HICP","92,51",""
"2003","Cyprus","Annual average index","All-items HICP","96,18",""
"2004","Cyprus","Annual average index","All-items HICP","98,00",""
"2005","Cyprus","Annual average index","All-items HICP","100,00",""
"2006","Cyprus","Annual average index","All-items HICP","102,25",""
"2007","Cyprus","Annual average index","All-items HICP","104,46",""
"2008","Cyprus","Annual average index","All-items HICP","109,03",""
"2009","Cyprus","Annual average index","All-items HICP","109,22",""
"2010","Cyprus","Annual average index","All-items HICP","112,02",""
"2001","Latvia","Annual average index","All-items HICP","83,94",""
"2002","Latvia","Annual average index","All-items HICP","85,58",""
"2003","Latvia","Annual average index","All-items HICP","88,10",""
"2004","Latvia","Annual average index","All-items HICP","93,55",""
"2005","Latvia","Annual average index","All-items HICP","100,00",""
"2006","Latvia","Annual average index","All-items HICP","106,57",""
"2007","Latvia","Annual average index","All-items HICP","117,32",""
"2008","Latvia","Annual average index","All-items HICP","135,21",""
"2009","Latvia","Annual average index","All-items HICP","139,62",""
"2010","Latvia","Annual average index","All-items HICP","137,91",""
"2001","Lithuania","Annual average index","All-items HICP","97,01",""
"2002","Lithuania","Annual average index","All-items HICP","97,34",""
"2003","Lithuania","Annual average index","All-items HICP","96,29",""
"2004","Lithuania","Annual average index","All-items HICP","97,41",""
"2005","Lithuania","Annual average index","All-items HICP","100,00",""
"2006","Lithuania","Annual average index","All-items HICP","103,79",""
"2007","Lithuania","Annual average index","All-items HICP","109,83",""
"2008","Lithuania","Annual average index","All-items HICP","122,01",""
"2009","Lithuania","Annual average index","All-items HICP","127,09",""
"2010","Lithuania","Annual average index","All-items HICP","128,60",""
"2001","Luxembourg","Annual average index","All-items HICP","89,21",""
"2002","Luxembourg","Annual average index","All-items HICP","91,04",""
"2003","Luxembourg","Annual average index","All-items HICP","93,36",""
"2004","Luxembourg","Annual average index","All-items HICP","96,37",""
"2005","Luxembourg","Annual average index","All-items HICP","100,00",""
"2006","Luxembourg","Annual average index","All-items HICP","102,96",""
"2007","Luxembourg","Annual average index","All-items HICP","105,69",""
"2008","Luxembourg","Annual average index","All-items HICP","110,01",""
"2009","Luxembourg","Annual average index","All-items HICP","110,02",""
"2010","Luxembourg","Annual average index","All-items HICP","113,10",""
"2001","Hungary","Annual average index","All-items HICP","82,15",""
"2002","Hungary","Annual average index","All-items HICP","86,46",""
"2003","Hungary","Annual average index","All-items HICP","90,50",""
"2004","Hungary","Annual average index","All-items HICP","96,63",""
"2005","Hungary","Annual average index","All-items HICP","100,00",""
"2006","Hungary","Annual average index","All-items HICP","104,03",""
"2007","Hungary","Annual average index","All-items HICP","112,28",""
"2008","Hungary","Annual average index","All-items HICP","119,05",""
"2009","Hungary","Annual average index","All-items HICP","123,85",""
"2010","Hungary","Annual average index","All-items HICP","129,70",""
"2001","Malta","Annual average index","All-items HICP","90,77",""
"2002","Malta","Annual average index","All-items HICP","93,14",""
"2003","Malta","Annual average index","All-items HICP","94,95",""
"2004","Malta","Annual average index","All-items HICP","97,53",""
"2005","Malta","Annual average index","All-items HICP","100,00",""
"2006","Malta","Annual average index","All-items HICP","102,58",""
"2007","Malta","Annual average index","All-items HICP","103,29",""
"2008","Malta","Annual average index","All-items HICP","108,13",""
"2009","Malta","Annual average index","All-items HICP","110,12",""
"2010","Malta","Annual average index","All-items HICP","112,37",""
"2001","Netherlands","Annual average index","All-items HICP","91,51",""
"2002","Netherlands","Annual average index","All-items HICP","95,05",""
"2003","Netherlands","Annual average index","All-items HICP","97,18",""
"2004","Netherlands","Annual average index","All-items HICP","98,52",""
"2005","Netherlands","Annual average index","All-items HICP","100,00",""
"2006","Netherlands","Annual average index","All-items HICP","101,65",""
"2007","Netherlands","Annual average index","All-items HICP","103,26",""
"2008","Netherlands","Annual average index","All-items HICP","105,54",""
"2009","Netherlands","Annual average index","All-items HICP","106,57",""
"2010","Netherlands","Annual average index","All-items HICP","107,56",""
"2001","Austria","Annual average index","All-items HICP","93,25",""
"2002","Austria","Annual average index","All-items HICP","94,83",""
"2003","Austria","Annual average index","All-items HICP","96,06",""
"2004","Austria","Annual average index","All-items HICP","97,94",""
"2005","Austria","Annual average index","All-items HICP","100,00",""
"2006","Austria","Annual average index","All-items HICP","101,69",""
"2007","Austria","Annual average index","All-items HICP","103,93",""
"2008","Austria","Annual average index","All-items HICP","107,28",""
"2009","Austria","Annual average index","All-items HICP","107,71",""
"2010","Austria","Annual average index","All-items HICP","109,53",""
"2001","Poland","Annual average index","All-items HICP","92,0",""
"2002","Poland","Annual average index","All-items HICP","93,8",""
"2003","Poland","Annual average index","All-items HICP","94,5",""
"2004","Poland","Annual average index","All-items HICP","97,9",""
"2005","Poland","Annual average index","All-items HICP","100,0",""
"2006","Poland","Annual average index","All-items HICP","101,3",""
"2007","Poland","Annual average index","All-items HICP","103,9",""
"2008","Poland","Annual average index","All-items HICP","108,3",""
"2009","Poland","Annual average index","All-items HICP","112,6",""
"2010","Poland","Annual average index","All-items HICP","115,6",""
"2001","Portugal","Annual average index","All-items HICP","89,23",""
"2002","Portugal","Annual average index","All-items HICP","92,51",""
"2003","Portugal","Annual average index","All-items HICP","95,52",""
"2004","Portugal","Annual average index","All-items HICP","97,92",""
"2005","Portugal","Annual average index","All-items HICP","100,00",""
"2006","Portugal","Annual average index","All-items HICP","103,04",""
"2007","Portugal","Annual average index","All-items HICP","105,54",""
"2008","Portugal","Annual average index","All-items HICP","108,34",""
"2009","Portugal","Annual average index","All-items HICP","107,36",""
"2010","Portugal","Annual average index","All-items HICP","108,85",""
"2001","Romania","Annual average index","All-items HICP","58,02","i"
"2002","Romania","Annual average index","All-items HICP","71,09","i"
"2003","Romania","Annual average index","All-items HICP","81,94","i"
"2004","Romania","Annual average index","All-items HICP","91,68","i"
"2005","Romania","Annual average index","All-items HICP","100,00",""
"2006","Romania","Annual average index","All-items HICP","106,60",""
"2007","Romania","Annual average index","All-items HICP","111,84",""
"2008","Romania","Annual average index","All-items HICP","120,69",""
"2009","Romania","Annual average index","All-items HICP","127,43",""
"2010","Romania","Annual average index","All-items HICP","135,17",""
"2001","Slovenia","Annual average index","All-items HICP","82,90",""
"2002","Slovenia","Annual average index","All-items HICP","89,09",""
"2003","Slovenia","Annual average index","All-items HICP","94,16",""
"2004","Slovenia","Annual average index","All-items HICP","97,60",""
"2005","Slovenia","Annual average index","All-items HICP","100,00",""
"2006","Slovenia","Annual average index","All-items HICP","102,54",""
"2007","Slovenia","Annual average index","All-items HICP","106,39",""
"2008","Slovenia","Annual average index","All-items HICP","112,28",""
"2009","Slovenia","Annual average index","All-items HICP","113,25",""
"2010","Slovenia","Annual average index","All-items HICP","115,62",""
"2001","Slovakia","Annual average index","All-items HICP","80,66",""
"2002","Slovakia","Annual average index","All-items HICP","83,48",""
"2003","Slovakia","Annual average index","All-items HICP","90,52",""
"2004","Slovakia","Annual average index","All-items HICP","97,28",""
"2005","Slovakia","Annual average index","All-items HICP","100,00",""
"2006","Slovakia","Annual average index","All-items HICP","104,26",""
"2007","Slovakia","Annual average index","All-items HICP","106,23",""
"2008","Slovakia","Annual average index","All-items HICP","110,41",""
"2009","Slovakia","Annual average index","All-items HICP","111,43",""
"2010","Slovakia","Annual average index","All-items HICP","112,21",""
"2001","Finland","Annual average index","All-items HICP","95,90",""
"2002","Finland","Annual average index","All-items HICP","97,82",""
"2003","Finland","Annual average index","All-items HICP","99,10",""
"2004","Finland","Annual average index","All-items HICP","99,24",""
"2005","Finland","Annual average index","All-items HICP","100,00",""
"2006","Finland","Annual average index","All-items HICP","101,28",""
"2007","Finland","Annual average index","All-items HICP","102,88",""
"2008","Finland","Annual average index","All-items HICP","106,91",""
"2009","Finland","Annual average index","All-items HICP","108,66",""
"2010","Finland","Annual average index","All-items HICP","110,49",""
"2001","Sweden","Annual average index","All-items HICP","94,12",""
"2002","Sweden","Annual average index","All-items HICP","95,94",""
"2003","Sweden","Annual average index","All-items HICP","98,18",""
"2004","Sweden","Annual average index","All-items HICP","99,18",""
"2005","Sweden","Annual average index","All-items HICP","100,00",""
"2006","Sweden","Annual average index","All-items HICP","101,50",""
"2007","Sweden","Annual average index","All-items HICP","103,20",""
"2008","Sweden","Annual average index","All-items HICP","106,65",""
"2009","Sweden","Annual average index","All-items HICP","108,72",""
"2010","Sweden","Annual average index","All-items HICP","110,80",""
"2001","United Kingdom","Annual average index","All-items HICP","94,2",""
"2002","United Kingdom","Annual average index","All-items HICP","95,4",""
"2003","United Kingdom","Annual average index","All-items HICP","96,7",""
"2004","United Kingdom","Annual average index","All-items HICP","98,0",""
"2005","United Kingdom","Annual average index","All-items HICP","100,0",""
"2006","United Kingdom","Annual average index","All-items HICP","102,3",""
"2007","United Kingdom","Annual average index","All-items HICP","104,7",""
"2008","United Kingdom","Annual average index","All-items HICP","108,5",""
"2009","United Kingdom","Annual average index","All-items HICP","110,8",""
"2010","United Kingdom","Annual average index","All-items HICP","114,5",""
"2001","European Economic Area (EEA18-2004, EEA28-2006, EEA30)","Annual average index","All-items HICP","92,22",""
"2002","European Economic Area (EEA18-2004, EEA28-2006, EEA30)","Annual average index","All-items HICP","94,13",""
"2003","European Economic Area (EEA18-2004, EEA28-2006, EEA30)","Annual average index","All-items HICP","95,97",""
"2004","European Economic Area (EEA18-2004, EEA28-2006, EEA30)","Annual average index","All-items HICP","97,89",""
"2005","European Economic Area (EEA18-2004, EEA28-2006, EEA30)","Annual average index","All-items HICP","100,00",""
"2006","European Economic Area (EEA18-2004, EEA28-2006, EEA30)","Annual average index","All-items HICP","102,21",""
"2007","European Economic Area (EEA18-2004, EEA28-2006, EEA30)","Annual average index","All-items HICP","104,58",""
"2008","European Economic Area (EEA18-2004, EEA28-2006, EEA30)","Annual average index","All-items HICP","108,41",""
"2009","European Economic Area (EEA18-2004, EEA28-2006, EEA30)","Annual average index","All-items HICP","109,51",""
"2010","European Economic Area (EEA18-2004, EEA28-2006, EEA30)","Annual average index","All-items HICP","111,80",""
"2001","Iceland","Annual average index","All-items HICP","90,29",""
"2002","Iceland","Annual average index","All-items HICP","95,09",""
"2003","Iceland","Annual average index","All-items HICP","96,41",""
"2004","Iceland","Annual average index","All-items HICP","98,64",""
"2005","Iceland","Annual average index","All-items HICP","100,00",""
"2006","Iceland","Annual average index","All-items HICP","104,65",""
"2007","Iceland","Annual average index","All-items HICP","108,45",""
"2008","Iceland","Annual average index","All-items HICP","122,29",""
"2009","Iceland","Annual average index","All-items HICP","142,18",""
"2010","Iceland","Annual average index","All-items HICP","152,79",""
"2001","Norway","Annual average index","All-items HICP","95,3",""
"2002","Norway","Annual average index","All-items HICP","96,1",""
"2003","Norway","Annual average index","All-items HICP","97,9",""
"2004","Norway","Annual average index","All-items HICP","98,5",""
"2005","Norway","Annual average index","All-items HICP","100,0",""
"2006","Norway","Annual average index","All-items HICP","102,5",""
"2007","Norway","Annual average index","All-items HICP","103,2",""
"2008","Norway","Annual average index","All-items HICP","106,7",""
"2009","Norway","Annual average index","All-items HICP","109,2",""
"2010","Norway","Annual average index","All-items HICP","111,8",""
"2001","Switzerland","Annual average index","All-items HICP",":",""
"2002","Switzerland","Annual average index","All-items HICP",":",""
"2003","Switzerland","Annual average index","All-items HICP",":",""
"2004","Switzerland","Annual average index","All-items HICP",":",""
"2005","Switzerland","Annual average index","All-items HICP","100,0",""
"2006","Switzerland","Annual average index","All-items HICP","101,0",""
